county,state,weightedSentimentOfTweets,won,percentOfTweets
Roberts,Texas,1.0000,y,0.00
Aguadilla,Puerto Rico,125.7000,y,15.26
Summit,Utah,14.2000,n,165.29
Worcester,Maryland,7.5000,y,100.00
Bulloch,Georgia,1.0000,y,2500.00
Brevard,Florida,274.8000,y,3.22
Waushara,Wisconsin,0.0000,y,3333.33
Aransas,Texas,7.4000,y,276.82
New Madrid,Missouri,1.0000,y,0.00
Santa Clara,California,872.8000,n,2.47
Galveston,Texas,45.3000,y,51.76
Broome,New York,5.5000,n,177.51
Niagara,New York,2.9000,y,493.83
LaSalle,Louisiana,3.4000,y,625.00
Sumter,Florida,0.0000,y,10000.00
Rensselaer,New York,1.0000,n,2500.00
Howard,Maryland,1.1000,n,429.69
Caldwell,Texas,1.2000,y,2222.22
Adams,Mississippi,1.3000,n,277.78
Butler,Kentucky,13.1000,y,61.77
Fayette,West Virginia,0.0000,y,5000.00
Kenosha,Wisconsin,2.9000,y,339.51
Allen,Indiana,-0.1000,y,0.00
Kitsap,Washington,62.1000,n,16.01
Tuscaloosa,Alabama,4.2000,y,34.69
Tehama,California,-2.0000,y,0.00
Outagamie,Wisconsin,2.0000,y,600.00
Cuming,Nebraska,0.0000,y,10000.00
Camden,Georgia,2.0000,y,1250.00
San Patricio,Texas,6.0000,y,300.00
Bastrop,Texas,6.4000,y,332.41
Waupaca,Wisconsin,13.8000,y,42.53
Delaware,Pennsylvania,65.8000,n,31.35
Cameron,Texas,14.1000,n,185.19
St. Johns,Florida,25.6000,y,89.53
Ector,Texas,3.7000,y,416.67
Oldham,Texas,12.9000,y,25.51
Bedford,Pennsylvania,0.0000,y,10000.00
Hancock,Indiana,1.0000,y,1875.00
Saipan,Commonwealth of the Northern M,1.0000,y,0.00
Dodge,Georgia,8.4000,y,170.76
Platte,Missouri,-1.0000,y,2500.00
Cache,Utah,1.0000,y,1388.89
Monterey,California,107.1000,n,10.85
Osceola,Florida,4.5000,n,27.75
Saratoga,New York,24.4000,n,43.87
Winona,Minnesota,2.8000,n,0.00
Cumberland,Tennessee,0.0000,y,10000.00
Harrison,Missouri,0.0000,y,10000.00
Middlesex,Connecticut,16.9000,y,71.37
Caldwell,North Carolina,0.4000,y,400.00
Missoula,Montana,-1.6000,n,226.84
Chesapeake City,Virginia,17.7000,n,187.30
Sac,Iowa,0.0000,y,10000.00
St. Bernard,Louisiana,0.0000,y,10000.00
Piscataquis,Maine,200.6000,y,7.04
Essex,Massachusetts,44.1000,n,27.13
Marion,Kansas,1.1000,y,2222.22
Forsyth,North Carolina,2.0000,n,625.00
Geary,Kansas,4.0000,y,0.00
Escambia,Florida,193.6000,y,8.47
Jasper,Texas,1.0000,y,0.00
Prince of Wales-Hyder,Alaska,2.1000,y,864.20
Monroe,Missouri,155.7000,y,4.47
Randolph,Illinois,20.0000,y,625.00
Warren,New Jersey,1.0000,y,0.00
Santa Rosa,Florida,6.4000,y,157.79
Grand Traverse,Michigan,9.8000,y,73.46
Matanuska-Susitna,Alaska,4.2000,y,277.01
Hempstead,Arkansas,2.6000,y,833.33
Laurens,Georgia,1.1000,y,2500.00
Maricopa,Arizona,1026.4000,n,1.77
Marin,California,139.7000,n,12.76
Hardin,Kentucky,26.9000,y,67.64
Jackson,Michigan,0.0000,y,5000.00
Liberty,Texas,21.1000,y,66.67
Hendry,Florida,2.7000,y,0.00
Fulton,Georgia,1983.8000,n,1.12
Beaver,Pennsylvania,2.7000,y,414.20
Randolph,West Virginia,0.0000,y,10000.00
Lincoln,Missouri,0.0000,y,5000.00
Mecklenburg,North Carolina,435.6000,n,3.41
Windham,Connecticut,163.2000,n,0.00
Lumpkin,Georgia,5.1000,y,600.00
Spotsylvania,Virginia,1.0000,y,2500.00
Bladen,North Carolina,1.0000,y,0.00
Bexar,Texas,1261.0000,n,2.33
Wayne,Kentucky,-1.2000,y,0.00
Covington,Alabama,24.0000,y,77.29
Custer,Idaho,0.0000,y,10000.00
Franklin,Alabama,3.2000,y,0.00
Carroll,Maryland,562.3000,y,2.60
Silver Bow,Montana,3.7000,n,246.91
Beaver,Utah,3.7000,y,625.00
Limestone,Alabama,1.2000,y,2222.22
Mayes,Oklahoma,0.0000,y,10000.00
Placer,California,41.2000,y,26.27
Prentiss,Mississippi,1.0000,y,0.00
Kewaunee,Wisconsin,0.0000,y,1000.00
Martinsville City,Virginia,1.0000,n,2222.22
Morton,Kansas,0.0000,y,10000.00
Anson,North Carolina,0.0000,n,10000.00
Pinellas,Florida,239.8000,n,7.12
Franklin,New York,0.0000,y,2500.00
Mineral,Montana,2.2000,y,0.00
Washington,Tennessee,12.0000,y,250.00
Cobb,Georgia,101.5000,n,14.85
Manassas City,Virginia,21.2000,n,47.92
Belknap,New Hampshire,12.5000,y,69.44
Stevens,Washington,2.1000,y,1250.00
Preston,West Virginia,3.8000,y,617.28
Utah,Utah,6.2000,y,273.44
Warren,New York,0.0000,y,3333.33
Loudon,Tennessee,1.0000,y,2222.22
Washington,Florida,1.2000,y,1875.00
DeKalb,Illinois,156.1000,n,89.29
Arlington,Virginia,11.2000,n,82.48
Pike,Pennsylvania,6.0000,y,300.00
Cross,Arkansas,1.0000,y,1875.00
Shelby,Texas,101.2000,y,177.78
Clinton,Pennsylvania,-1.0000,y,2222.22
Adams,Colorado,2.1000,n,625.00
Todd,Minnesota,1.7000,y,625.00
Robeson,North Carolina,-0.6000,y,555.56
Midland,Texas,34.4000,y,10.75
Elmore,Alabama,15.8000,y,507.81
Gregg,Texas,1522.5000,y,8.42
St. Louis,Missouri,47.4000,n,33.82
Union,Arkansas,3.1000,y,0.00
Nacogdoches,Texas,-1.0000,y,0.00
Roanoke,Virginia,1.1000,y,1875.00
Claiborne,Louisiana,-0.6000,y,82.64
Ulster,New York,-1.0000,n,45.31
Baldwin,Alabama,26.7000,y,68.03
Cumberland,Maine,4.7000,n,59.17
Love,Oklahoma,1.2000,y,0.00
Oswego,New York,13.4000,y,124.87
Chatham,North Carolina,1524.5000,n,1.30
Caledonia,Vermont,19.3000,y,2.87
Wexford,Michigan,0.3000,y,0.00
Tioga,New York,1.0000,y,0.00
Avoyelles,Louisiana,283.5000,y,6.55
Clinton,Illinois,5.1000,y,130.39
Ravalli,Montana,21.2000,y,96.02
Sussex,Delaware,112.2000,y,11.09
Anne Arundel,Maryland,72.6000,n,10.80
Rockingham,New Hampshire,8.2000,y,123.46
Madison,Illinois,6.1000,y,136.05
Waynesboro City,Virginia,2.1000,y,1250.00
Gallia,Ohio,3.9000,y,352.00
Newport,Rhode Island,16.2000,n,121.11
Harrison,Mississippi,47.3000,y,51.00
Rains,Texas,0.0000,y,10000.00
Lamar,Texas,7.5000,y,153.06
Bowie,Texas,10.0000,y,160.00
Alamance,North Carolina,0.0000,y,10000.00
Adams,Pennsylvania,7.2000,y,459.18
Dare,North Carolina,2.6000,y,408.16
Bibb,Georgia,13.0000,n,224.00
Los Alamos,New Mexico,0.0000,n,2000.00
Panola,Texas,1.0000,y,0.00
Decatur,Kansas,108141.8000,y,0.07
Monroe,Florida,16.0000,y,75.51
Hendricks,Indiana,1.0000,y,0.00
Trumbull,Ohio,0.0000,y,3333.33
Lassen,California,0.0000,y,3333.33
Riley,Kansas,4.6000,n,0.00
Benton,Iowa,4.0000,y,0.00
Tyler,West Virginia,1.5000,y,625.00
Christian,Kentucky,1.0000,y,0.00
Ventura,California,93.5000,n,18.44
New Hanover,North Carolina,10.3000,n,52.76
Jefferson,New York,-1.4000,y,625.00
Craven,North Carolina,6.0000,y,121.53
Kay,Oklahoma,0.0000,y,10000.00
Lewis and Clark,Montana,3.8000,y,156.25
Winnebago,Illinois,9.9000,n,75.85
Norfolk,Massachusetts,74.7000,n,68.87
Cass,Indiana,1.1000,y,0.00
Greenville,South Carolina,46.9000,y,29.17
Adair,Iowa,4.3000,y,617.28
Shiawassee,Michigan,0.0000,y,5000.00
York,Virginia,27.8000,y,23.14
Montague,Texas,5.0000,y,0.00
Natchitoches,Louisiana,-0.3000,y,1111.11
Carter,Oklahoma,-0.7000,y,1111.11
Weber,Utah,22.7000,y,118.34
Tarrant,Texas,2183.7000,n,2.64
Fayette,Texas,-1.0000,y,585.94
Pershing,Nevada,1.0000,y,900.00
Pike,Ohio,0.0000,y,5000.00
Harrison,West Virginia,0.0000,y,3333.33
Dickinson,Iowa,-1.0000,y,0.00
Curry,New Mexico,0.0000,y,10000.00
East Baton Rouge,Louisiana,98.7000,y,18.43
Wabash,Indiana,3.0000,y,625.00
Schuylkill,Pennsylvania,6.4000,y,246.91
Putnam,Indiana,0.0000,y,10000.00
Lehigh,Pennsylvania,123.5000,n,18.30
Coweta,Georgia,1.0000,y,2500.00
Ozaukee,Wisconsin,0.0000,y,588.24
Chattooga,Georgia,6.1000,y,17.24
Lincoln,Oregon,-1.0000,n,2222.22
Carroll,Iowa,0.0000,y,694.44
Guthrie,Iowa,0.0000,y,10000.00
Clay,Kansas,0.0000,y,10000.00
Sevier,Tennessee,4.8000,y,123.46
Rockingham,North Carolina,64.5000,y,135.81
Sandoval,New Mexico,10.4000,n,144.44
Fairfax City,Virginia,83.8000,n,47.58
Monroe,Indiana,11.7000,n,187.30
West Feliciana,Louisiana,0.0000,y,10000.00
Greenup,Kentucky,0.0000,y,5000.00
Brooks,Georgia,0.0000,y,2500.00
Chenango,New York,0.0000,y,5000.00
Johnson,Indiana,0.0000,y,10000.00
Santa Cruz,California,2.4000,n,600.00
Greene,Tennessee,2.0000,y,612.24
Willacy,Texas,1.0000,n,0.00
San Juan,Utah,0.0000,y,10000.00
Sarasota,Florida,249.9000,y,6.83
Charlotte,Florida,15.0000,y,304.71
Douglas,Nebraska,60.7000,n,24.28
DuPage,Illinois,41.5000,n,29.86
Orange,Vermont,0.0000,y,10000.00
Dixie,Florida,-1.0000,y,1600.00
Livingston,Louisiana,1.0000,y,0.00
Lake,Illinois,32.0000,n,31.81
Webster,Missouri,5.0000,y,156.25
San Joaquin,California,68.5000,n,15.24
Burlington,New Jersey,33.4000,n,31.71
Newport News City,Virginia,10.0000,n,144.63
Union,Kentucky,2.2000,y,0.00
Milwaukee,Wisconsin,37.8000,n,11.20
Hampshire,Massachusetts,21.2000,y,111.77
Cape Girardeau,Missouri,1.0000,y,1875.00
Hillsborough,New Hampshire,10.2000,y,147.93
Crisp,Georgia,1.7000,y,0.00
Hampden,Massachusetts,6.5000,y,156.11
Anderson,Tennessee,1.5000,y,330.58
Linn,Oregon,0.0000,y,10000.00
Hamilton,Ohio,184.7000,n,8.99
Leon,Florida,134.2000,n,14.06
Wood,Ohio,3.6000,y,816.33
Luzerne,Pennsylvania,1.0000,y,2222.22
Hancock,Maine,1.0000,y,0.00
Shelby,Kentucky,1.7000,y,0.00
San Bernardino,California,281.4000,n,4.53
Cuyahoga,Ohio,595.3000,n,3.17
Lake,California,13.4000,n,103.81
Marathon,Wisconsin,9.2000,y,236.69
Baltimore,Maryland,-8.1000,n,44.00
Box Elder,Utah,0.0000,y,10000.00
Lucas,Ohio,33.1000,n,47.78
Sullivan,Tennessee,2.2000,y,312.50
Leavenworth,Kansas,4.5000,y,400.00
Guadalupe,Texas,0.0000,y,370.37
Marion,Kentucky,1272.3000,y,3.15
Rockland,New York,22.8000,n,47.53
Hinds,Mississippi,12.3000,n,113.17
Clinton,Kentucky,0.0000,y,10000.00
Page,Virginia,8.1000,y,247.93
Jones,Mississippi,4.9000,y,153.06
Caroline,Virginia,-0.5000,y,0.00
Calcasieu,Louisiana,-0.8000,y,625.00
Grant,Washington,0.0000,y,10000.00
Morris,New Jersey,0.9000,n,14.72
Cape May,New Jersey,19.6000,y,77.16
Greene,New York,2.0000,y,0.00
Harrisonburg City,Virginia,6.5000,n,200.00
Sully,South Dakota,16.4000,y,59.40
Jefferson,West Virginia,0.0000,y,2000.00
Camuy,Puerto Rico,1.0000,y,0.00
Columbia,Pennsylvania,7.4000,y,88.89
Carter,Kentucky,0.9000,y,625.00
Grant,Oregon,-0.8000,y,408.16
District of Columbia,District of Columbia,60197.8000,n,0.23
Orocovis,Puerto Rico,209.2000,y,9.88
Erie,New York,186.8000,n,8.68
Larimer,Colorado,3.6000,n,473.37
Kenton,Kentucky,2.6000,y,100.00
Tillamook,Oregon,248.6000,y,1.74
Shelby,Tennessee,561.2000,n,6.20
Kootenai,Idaho,0.0000,y,10000.00
Kingsbury,South Dakota,-0.9000,y,816.33
Nolan,Texas,1.0000,y,2222.22
Otsego,New York,0.0000,y,10000.00
Carroll,Georgia,2.0000,y,1111.11
Juneau,Alaska,0.0000,y,400.00
Gunnison,Colorado,0.0000,n,10000.00
Muskogee,Oklahoma,2.4000,y,208.33
Rockbridge,Virginia,3.0000,y,700.00
Leon,Texas,1.5000,y,400.00
Dallas,Alabama,1.1000,n,1224.49
Langlade,Wisconsin,186.9000,y,15.56
Clay,Minnesota,11.6000,n,111.11
Clarke,Georgia,4.4000,n,625.00
Catoosa,Georgia,-0.2000,y,0.00
Kauai,Hawaii,17.9000,n,107.50
Kent,Rhode Island,2.0000,y,0.00
Mason,Michigan,10.8000,y,234.38
Stearns,Minnesota,0.1000,y,937.50
Peoria,Illinois,59.7000,n,33.33
Saline,Kansas,12.6000,y,153.06
Cumberland,Pennsylvania,-1.0000,y,1600.00
Union,Pennsylvania,1.0000,y,0.00
Cidra,Puerto Rico,2.1000,y,0.00
Clarendon,South Carolina,855.7000,y,4.67
Fulton,Indiana,1.2000,y,2500.00
Lancaster,Pennsylvania,92.5000,y,8.38
Allen,Kansas,2.4000,y,277.78
Prince William,Virginia,469.5000,n,7.98
Fort Bend,Texas,6.4000,n,168.01
Hubbard,Minnesota,0.0000,y,1250.00
Montgomery,Kansas,-0.2000,y,1111.11
Wood,Texas,3.5000,y,700.00
Duval,Florida,151.8000,n,5.23
Providence,Rhode Island,1734.9000,n,10.42
Butler,Pennsylvania,24.7000,y,14.86
Sussex,New Jersey,12.6000,y,41.32
Mitchell,Texas,-3.9000,y,0.00
Henderson,Kentucky,0.9000,y,800.00
Johnson,Arkansas,0.0000,y,2000.00
Fairfield,Ohio,1.0000,y,0.00
Porter,Indiana,1.0000,y,2500.00
Washington,North Carolina,2.1000,n,577.78
Union,Iowa,1.0000,y,2500.00
Boulder,Colorado,74.8000,n,16.24
Washington,Rhode Island,1.4000,y,2222.22
North Slope,Alaska,1.1000,y,0.00
Coos,Oregon,1.0000,y,781.25
Rock,Wisconsin,7.2000,n,181.41
Darke,Ohio,0.0000,y,3333.33
Graham,Arizona,1.0000,y,0.00
St. Tammany,Louisiana,3.0000,y,800.00
Marion,Indiana,412.1000,n,3.37
Santa Barbara,California,293.7000,n,4.69
Franklin,Illinois,9.1000,y,55.10
Hampton City,Virginia,16.6000,n,56.96
Taos,New Mexico,26.0000,n,9.57
Lorain,Ohio,-3.6000,y,56.71
Washington,Ohio,0.0000,y,10000.00
Miami-Dade,Florida,6440.5000,n,0.83
Douglas,Wisconsin,3.4000,n,0.00
Lake,Colorado,4.5000,n,1111.11
Sunflower,Mississippi,0.0000,n,10000.00
Columbia,Georgia,-1.0000,y,0.00
Maverick,Texas,-0.3000,n,138.41
Jasper,Mississippi,3.6000,n,0.00
Rock Island,Illinois,3.4000,n,277.78
Suwannee,Florida,1.0000,y,0.00
Williamson,Illinois,1.7000,y,0.00
Johnston,North Carolina,2.1000,y,0.00
Fairbanks North Star,Alaska,7.0000,y,192.90
Cherokee,Georgia,2.0000,y,0.00
LaPorte,Indiana,-1.0000,y,0.00
Wabash,Illinois,2.2000,y,0.00
Queens,New York,338.8000,n,5.02
Van Zandt,Texas,-63.5000,y,138.41
Oakland,Michigan,62.9000,n,33.75
Walker,Alabama,40.3000,y,76.94
Montrose,Colorado,25.2000,y,20.81
Elkhart,Indiana,0.0000,y,10000.00
Dubois,Indiana,-1.0000,y,0.00
Marion,Oregon,14.6000,n,30.05
Westchester,New York,177.6000,n,7.03
Hardeman,Tennessee,61.1000,y,13.52
Okaloosa,Florida,17.7000,y,16.26
Penobscot,Maine,5.0000,n,277.78
Pope,Arkansas,0.0000,y,10000.00
Hernando,Florida,19.1000,y,123.46
Johnson,Texas,4.1000,y,400.00
Morgan,West Virginia,1.2000,y,153.06
Kennebec,Maine,0.0000,y,10000.00
Navarro,Texas,0.0000,y,5000.00
Kings,New York,19920.7000,n,1.46
Pima,Arizona,425.2000,n,6.07
Franklin,Pennsylvania,0.0000,y,10000.00
Marion,Missouri,0.0000,y,5000.00
Wallace,Kansas,1.4000,y,0.00
Claiborne,Tennessee,0.0000,y,3333.33
Texas,Oklahoma,2.0000,y,1111.11
Madison,New York,481.9000,y,2.87
Perry,Missouri,1.0000,y,0.00
Carver,Minnesota,2.2000,y,1250.00
Sheboygan,Wisconsin,-4.0000,y,172.52
Starr,Texas,0.1000,n,743.80
Monroe,Pennsylvania,3.3000,n,221.61
Grays Harbor,Washington,1.8000,y,0.00
Ashley,Arkansas,0.0000,y,10000.00
Nassau,New York,127.2000,n,9.18
York,Pennsylvania,2.0000,y,625.00
Wapello,Iowa,0.0000,y,10000.00
Tuscarawas,Ohio,-1.0000,y,2500.00
Tucker,West Virginia,0.0000,y,3333.33
Tyler,Texas,13.7000,y,193.91
McCulloch,Texas,3.2000,y,444.44
Caddo,Louisiana,33.7000,y,51.94
Logan,West Virginia,0.0000,y,5000.00
Passaic,New Jersey,2.4000,n,214.68
Benton,Washington,6.3000,y,236.69
Washington,Oklahoma,2.2000,y,1111.11
Pine,Minnesota,2.1000,y,0.00
Escambia,Alabama,15.3000,y,138.50
Graves,Kentucky,-1.0000,y,0.00
Lubbock,Texas,123.6000,y,20.83
Sherburne,Minnesota,5.8000,y,408.16
Golden Valley,Montana,0.1000,y,355.03
Wayne,Iowa,-7.1000,y,273.44
Cullman,Alabama,2.0000,y,1250.00
Colorado,Texas,3.8000,y,0.00
Chambers,Texas,37.2000,y,120.53
Sangamon,Illinois,182.7000,y,9.56
Williamsburg City,Virginia,19.2000,n,42.01
Greene,Ohio,0.0000,y,10000.00
Hancock,West Virginia,7.9000,y,173.01
Sedgwick,Kansas,-40.9000,y,37.88
Richland,South Carolina,1.1000,n,364.58
Pulaski,Illinois,-16.4000,y,0.00
Sterling,Texas,1.2000,y,500.00
Jasper,Indiana,2.1000,y,1200.00
Crook,Oregon,410.2000,y,3.33
Nassau,Florida,5.3000,y,355.03
Morgan,Alabama,2.2000,y,578.51
Pulaski,Missouri,0.0000,y,10000.00
New Haven,Connecticut,61.2000,n,20.45
Daviess,Kentucky,3.7000,y,500.00
Greene,Pennsylvania,0.0000,y,10000.00
Blaine,Idaho,124.6000,n,8.48
San Juan,Puerto Rico,136.2000,y,19.64
Genesee,Michigan,39.5000,n,108.47
Butler,Iowa,1.0000,y,1875.00
Marquette,Michigan,11.7000,n,0.00
Muscatine,Iowa,0.0000,y,10000.00
Bristol,Massachusetts,21.4000,y,54.32
Tulsa,Oklahoma,70.2000,y,19.14
Lake,Indiana,30.3000,n,13.15
St. Clair,Michigan,0.3000,y,555.56
Putnam,Tennessee,1.5000,y,1250.00
Roscommon,Michigan,2.0000,y,1200.00
Litchfield,Connecticut,1.0000,n,2222.22
Washington,Arkansas,5.5000,y,137.05
Bannock,Idaho,1.0000,y,2500.00
York,Maine,2.6000,n,694.44
Bartholomew,Indiana,0.0000,y,5000.00
Georgetown,South Carolina,1.1000,y,1093.75
Rowan,North Carolina,1.0000,y,740.74
Kendall,Texas,-1.0000,y,473.37
Ashland,Ohio,1.0000,y,0.00
Blair,Pennsylvania,3.3000,y,156.25
Johnson,Iowa,0.2000,n,93.75
Laramie,Wyoming,2.2000,y,0.00
Martin,Indiana,1.0000,y,0.00
Gwinnett,Georgia,39.5000,n,42.37
Ottawa,Kansas,3.0000,y,211.78
Walker,Texas,-2.4000,y,1111.11
Ocean,New Jersey,4704.8000,y,0.67
Oneida,New York,61.4000,y,29.43
Kanawha,West Virginia,18.2000,y,204.08
Utuado,Puerto Rico,-0.2000,y,0.00
Franklin,Vermont,0.0000,y,5000.00
Wright,Minnesota,0.0000,y,10000.00
McHenry,Illinois,5.2000,y,216.05
Forest,Wisconsin,1.0000,y,484.43
DeSoto,Florida,-1.0000,y,1875.00
Scott,Missouri,0.0000,y,10000.00
Aroostook,Maine,0.0000,y,10000.00
Cayuga,New York,0.0000,y,10000.00
Lincoln,Oklahoma,0.0000,y,10000.00
Otter Tail,Minnesota,9.9000,y,107.42
Travis,Texas,1174.2000,n,2.02
Mercer,Pennsylvania,0.0000,y,10000.00
Tolland,Connecticut,1.0000,n,0.00
Philadelphia,Pennsylvania,859.5000,n,1.03
Montgomery,Ohio,20.7000,n,66.96
Pottawattamie,Iowa,4.4000,y,153.06
Lancaster,South Carolina,0.0000,y,10000.00
Twiggs,Georgia,-1.0000,y,0.00
Beckham,Oklahoma,0.0000,y,10000.00
Beaufort,South Carolina,1.2000,y,0.00
Hartford,Connecticut,829.4000,n,3.65
Saluda,South Carolina,-1.2000,y,0.00
Blue Earth,Minnesota,52.9000,n,22.68
El Paso,Colorado,65.5000,y,18.36
Portage,Wisconsin,446.2000,n,3.31
Sacramento,California,355.3000,n,4.81
Pueblo,Colorado,40.1000,n,22.72
Terrebonne,Louisiana,2.1000,y,1250.00
Long,Georgia,41.1000,y,58.67
Hunterdon,New Jersey,-33.3000,y,0.00
Westmoreland,Pennsylvania,68.9000,y,3.56
El Dorado,California,8.7000,y,87.11
Cumberland,Illinois,8.8000,y,138.50
Gallatin,Kentucky,0.1000,y,0.00
Navajo,Arizona,7.1000,y,355.03
Logan,Arkansas,6.9000,y,0.00
Brookings,South Dakota,1.0000,y,0.00
Nantucket,Massachusetts,-1.6000,n,0.00
Merrimack,New Hampshire,299.6000,n,10.70
Attala,Mississippi,82.8000,y,20.04
Wood,West Virginia,1.8000,y,625.00
Montgomery,North Carolina,1.0000,y,2500.00
Sutton,Texas,1.0000,y,0.00
McCurtain,Oklahoma,2.4000,y,1020.41
Multnomah,Oregon,1018.1000,n,1.09
Union,New Jersey,19.0000,n,61.98
Oklahoma,Oklahoma,136.6000,y,16.07
McCracken,Kentucky,6.7000,y,100.00
Ward,North Dakota,2.0000,y,1250.00
Reno,Kansas,0.0000,y,10000.00
Dixon,Nebraska,-1.0000,y,2500.00
Spokane,Washington,162.8000,y,11.86
Cole,Missouri,9.7000,y,130.80
Henry,Virginia,0.0000,y,3333.33
Humphreys,Mississippi,1.0000,n,0.00
Hawaii,Hawaii,147.8000,n,11.39
Cambria,Pennsylvania,17.8000,y,150.89
Fayette,Pennsylvania,1.5000,y,1388.89
Lincoln,Mississippi,58.8000,y,355.56
Wayne,West Virginia,16.1000,y,68.03
Ward,Texas,6.2000,y,493.83
Cass,Nebraska,2.5000,y,0.00
Huntingdon,Pennsylvania,-1.1000,y,0.00
Tuolumne,California,2.0000,y,1200.00
Lucas,Iowa,1.0000,y,0.00
Palm Beach,Florida,560.6000,n,2.76
Polk,Minnesota,39.2000,y,24.39
Otero,Colorado,15.9000,y,507.81
Hamilton,Tennessee,366.9000,y,39.06
Maui,Hawaii,23.9000,n,53.75
Cheshire,New Hampshire,1.2000,y,2222.22
Houghton,Michigan,3.8000,y,1111.11
Park,Colorado,1069.5000,y,2.31
Kalamazoo,Michigan,36.5000,n,27.24
Dona Ana,New Mexico,34.0000,y,62.81
Del Norte,California,0.0000,y,10000.00
Hunt,Texas,-1.0000,y,0.00
Rio Grande,Colorado,-1.7000,y,2500.00
Wayne,Michigan,885.2000,n,2.10
Greene,Missouri,8.6000,y,76.03
Greenlee,Arizona,-1.0000,y,2500.00
Martin,Florida,7.6000,y,400.00
Putnam,New York,2.4000,y,415.51
Tazewell,Illinois,0.0000,y,10000.00
Minnehaha,South Dakota,0.0000,y,909.09
Tipton,Indiana,134.5000,y,3.96
Alameda,California,1595.8000,n,1.26
Richmond,New York,212.1000,y,15.72
Anderson,Texas,3.5000,y,486.11
Webster,West Virginia,1.3000,y,0.00
Yakima,Washington,5.8000,y,200.00
Cass,Michigan,2.3000,y,612.24
Columbia,Florida,14.3000,y,151.23
Clay,Florida,1.2000,y,486.11
Freestone,Texas,212.5000,y,1.68
Cass/Van Buren,Missouri,2.0000,y,1250.00
Eureka,Nevada,6.6000,y,204.08
Cooke,Texas,6.6000,y,133.33
Clay,South Dakota,0.0000,n,3333.33
Wake,North Carolina,194.6000,n,6.73
Lauderdale,Alabama,114.2000,y,89.23
Wise,Virginia,-1.0000,y,2500.00
Wayne,Indiana,0.0000,y,2500.00
Winneshiek,Iowa,0.0000,y,5000.00
Washington,Minnesota,38.2000,n,14.61
Goochland,Virginia,2.1000,y,0.00
Fredericksburg City,Virginia,9.8000,n,141.61
Jackson,Illinois,13.0000,n,330.58
Hutchinson,Texas,1.0000,y,1600.00
Citrus,Florida,-5.9000,y,40.03
Benton,Arkansas,0.2000,y,208.33
Stanly,North Carolina,5.1000,y,1200.00
Fannin,Georgia,-1.0000,y,2500.00
Republic,Kansas,5.3000,y,0.00
Solano,California,40.7000,n,27.10
Harper,Kansas,-2.1000,y,0.00
Herkimer,New York,0.1000,y,0.00
Washington,Wisconsin,13.4000,y,121.53
Valley,Nebraska,13.9000,y,245.75
Pontotoc,Mississippi,1.0000,y,0.00
Warren,Mississippi,-1.0000,n,2500.00
Delaware,Iowa,2.0000,y,0.00
Walker,Georgia,0.0000,y,833.33
Faulkner,Arkansas,147.6000,y,11.90
Montgomery,Tennessee,49.2000,y,23.78
Skagway,Alaska,0.0000,y,66.67
Tom Green,Texas,0.0000,y,1666.67
Raleigh,West Virginia,0.5000,y,400.00
Humboldt,Nevada,16.7000,y,110.80
Orleans,Louisiana,115.4000,y,4.41
Weld,Colorado,2.1000,y,1200.00
La Plata,Colorado,19.8000,n,0.00
Douglas,Colorado,6.7000,y,355.56
Crittenden,Arkansas,1.1000,n,900.00
Vermilion,Illinois,3.2000,y,375.00
Cherokee,Kansas,22.4000,y,6.53
St. Louis,Minnesota,10.3000,n,123.03
Beltrami,Minnesota,-2.6000,y,864.20
Floyd,Georgia,1.0000,y,0.00
Sweetwater,Wyoming,1.1000,y,0.00
King,Washington,1427.0000,n,1.15
Hettinger,North Dakota,258.3000,y,4.95
Knox,Tennessee,158.3000,y,10.64
Merced,California,0.0000,n,1111.11
Warren,Kentucky,60.4000,y,137.74
Macomb,Michigan,3.0000,y,468.75
Putnam,West Virginia,0.0000,y,5000.00
Brewster,Texas,1.2000,y,2222.22
